Time [s]	Obiwan Ch.  1(Target)[mbar]	Obiwan Ch.  1(Read)[mbar]	Obiwan Ch.  2(Target)[mbar]	Obiwan Ch.  2(Read)[mbar]	Obiwan Ch.  3(Target)[mbar]	Obiwan Ch.  3(Read)[mbar]	Obiwan Ch.  4(Target)[mbar]	Obiwan Ch.  4(Read)[mbar]	Flowie80(Target) [µl/min]	Flowie80(Read)[µl/min]	
5.3280	0.0000	1.0987	22.4060	22.0530	0.0000	3.1369	0.0000	-886.5065	12.7500	5.4815	
5.3780	0.0000	1.0987	22.6964	22.0530	0.0000	3.1369	0.0000	-886.5065	12.7500	5.4815	
5.4280	0.0000	1.0987	22.9777	22.8336	0.0000	3.1974	0.0000	-888.7319	12.7500	7.2333	
5.4790	0.0000	1.0987	23.4506	22.8336	0.0000	3.1974	0.0000	-888.7319	12.7500	7.2333	
5.5280	0.0000	1.0987	23.6344	23.3740	0.0000	3.1974	0.0000	-888.7319	12.7500	8.5259	
5.5790	0.0000	1.0987	23.8320	23.7944	0.0000	3.2579	0.0000	-888.7319	12.7500	9.4407	
5.6280	0.0000	1.0987	24.1101	23.7944	0.0000	3.2579	0.0000	-888.7319	12.7500	9.4407	
5.6780	0.0000	1.0987	24.2541	23.7944	0.0000	3.1369	0.0000	-886.5065	12.7500	10.1185	
5.7290	0.0000	1.0359	24.4752	24.0946	0.0000	3.1369	0.0000	-886.5065	12.7500	10.1185	
5.7780	0.0000	1.0359	24.5944	24.4549	0.0000	3.1974	0.0000	-888.7319	12.7500	10.7593	
5.8280	0.0000	1.0359	24.7584	24.4549	0.0000	3.1974	0.0000	-888.7319	12.7500	10.7593	
5.8780	0.0000	1.0359	24.8679	24.8152	0.0000	3.1369	0.0000	-888.7319	12.7500	11.0630	
5.9290	0.0000	1.0987	25.0068	24.9353	0.0000	3.1974	0.0000	-886.5065	12.7500	11.4111	
5.9780	0.0000	1.0987	25.0674	24.9353	0.0000	3.1974	0.0000	-886.5065	12.7500	11.4111	
6.0280	0.0000	1.0987	25.1258	25.1755	0.0000	3.2579	0.0000	-888.7319	12.7500	11.7074	
6.0790	0.0000	1.0987	25.2151	25.1755	0.0000	3.2579	0.0000	-888.7319	12.7500	11.7074	
6.1280	0.0000	1.0359	25.2579	25.2956	0.0000	3.1974	0.0000	-886.5065	12.7500	11.9148	
6.1780	0.0000	1.0359	25.2902	25.4157	0.0000	3.1369	0.0000	-888.7319	12.7500	12.1407	
6.2280	0.0000	1.0359	25.3414	25.4157	0.0000	3.1369	0.0000	-888.7319	12.7500	12.1407	
6.2780	0.0000	1.0987	25.3530	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.3222	
6.3290	0.0000	1.0987	25.3759	25.4757	0.0000	3.2579	0.0000	-886.5065	12.7500	12.3963	
6.3780	0.0000	1.0987	25.4057	25.4757	0.0000	3.2579	0.0000	-886.5065	12.7500	12.3963	
6.4280	0.0000	1.0987	25.4136	25.4757	0.0000	3.1974	0.0000	-886.5065	12.7500	12.5074	
6.4780	0.0000	1.0987	25.4336	25.4757	0.0000	3.1974	0.0000	-888.7319	12.7500	12.5926	
6.5280	0.0000	1.0987	25.4344	25.4757	0.0000	3.1974	0.0000	-888.7319	12.7500	12.5926	
6.5780	0.0000	1.0359	25.4419	25.5358	0.0000	3.1974	0.0000	-888.7319	12.7500	12.6222	
6.6280	0.0000	1.0359	25.4527	25.5358	0.0000	3.1974	0.0000	-888.7319	12.7500	12.6222	
6.6780	0.0000	1.0987	25.4458	25.5358	0.0000	3.1974	0.0000	-886.5065	12.7500	12.7037	
6.7290	0.0000	1.0987	25.4381	25.5358	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7741	
6.7780	0.0000	1.0987	25.4361	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7741	
6.8290	0.0000	1.0987	25.4340	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7741	
6.8780	0.0000	1.1615	25.4296	25.5358	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7852	
6.9280	0.0000	1.0987	25.4267	25.5358	0.0000	3.1974	0.0000	-886.5065	12.7500	12.8074	
6.9790	0.0000	1.0987	25.4185	25.5358	0.0000	3.1974	0.0000	-886.5065	12.7500	12.8074	
7.0280	0.0000	1.0987	25.3996	25.5358	0.0000	3.1974	0.0000	-890.9572	12.7500	12.8778	
7.0780	0.0000	1.0987	25.3890	25.5358	0.0000	3.1974	0.0000	-890.9572	12.7500	12.9000	
7.1280	0.0000	1.0359	25.3729	25.4157	0.0000	3.1974	0.0000	-890.9572	12.7500	12.9000	
7.1790	0.0000	1.0359	25.3548	25.3556	0.0000	3.2579	0.0000	-888.7319	12.7500	12.9296	
7.2290	0.0000	1.0359	25.3397	25.3556	0.0000	3.2579	0.0000	-888.7319	12.7500	12.9296	
7.2790	0.0000	1.0359	25.3329	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8926	
7.3280	0.0000	1.0359	25.3227	25.4157	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8815	
